"No.","Time","Source","Destination","Protocol","Length","Info"
"74","5.617232","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2606:4700:8d92:7cbc:c264:479:5ff2:75c4","TCP","86","58140  >  443 [ACK] Seq=1177 Ack=640 Win=2046 Len=0 TSval=1743189867 TSecr=4132333260"
"75","5.630495","2606:4700:8d91:fa73:30d9:479:5451:e5ea","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TLSv1.2","125","Application Data"
"76","5.630626","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2606:4700:8d91:fa73:30d9:479:5451:e5ea","TCP","74","58162  >  443 [RST] Seq=1 Win=0 Len=0"
"77","5.648030","2606:4700:8d91:fa73:30d9:479:5451:e5ea","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","443  >  58162 [FIN, ACK] Seq=40 Ack=1 Win=16 Len=0 TSval=3087027416 TSecr=2922598318"
"78","5.648209","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2606:4700:8d91:fa73:30d9:479:5451:e5ea","TCP","74","58162  >  443 [RST] Seq=1 Win=0 Len=0"
"79","5.692055","2606:4700:8d90:5eef:2eca:47a:fde:d046","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","443  >  58264 [ACK] Seq=4176 Ack=2497 Win=139264 Len=0 TSval=233076052 TSecr=3351960620"
"80","5.797091","2606:4700:8d91:fa73:30d9:479:5451:e5ea","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","[TCP Retransmission] 443  >  58162 [FIN, ACK] Seq=40 Ack=1 Win=16 Len=0 TSval=3087027575 TSecr=2922598318"
"81","5.797263","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2606:4700:8d91:fa73:30d9:479:5451:e5ea","TCP","74","58162  >  443 [RST] Seq=1 Win=0 Len=0"
"82","6.162366","2606:4700:8d91:fa73:30d9:479:5451:e5ea","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","125","[TCP Retransmission] 443  >  58162 [FIN, PSH, ACK] Seq=1 Ack=1 Win=16 Len=39 TSval=3087027856 TSecr=2922598318"
"83","6.162513","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2606:4700:8d91:fa73:30d9:479:5451:e5ea","TCP","74","58162  >  443 [RST] Seq=1 Win=0 Len=0"
"84","6.235793","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2606:4700:8d91:d8b7:9ad9:475:ccf5:ac50","TLSv1.2","118","Application Data"
"85","6.276309","2606:4700:8d91:d8b7:9ad9:475:ccf5:ac50","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","443  >  58139 [ACK] Seq=1 Ack=33 Win=16 Len=0 TSval=3354801125 TSecr=2130063090"
"86","6.426341","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2405:200:1630:bb8::c","UDP","1287","64295  >  443 Len=1225"
"87","6.426367","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2405:200:1630:bb8::c","UDP","1292","64295  >  443 Len=1230"
"88","6.426401","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2405:200:1630:bb8::c","UDP","989","64295  >  443 Len=927"
"89","6.481915","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","93","443  >  64295 Len=31"
"90","6.481922","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","192","443  >  64295 Len=130"
"91","6.484541","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1287","443  >  64295 Len=1225"
"92","6.484544","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"93","6.484546","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"94","6.484547","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"95","6.484549","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"96","6.488059","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2405:200:1630:bb8::c","UDP","102","64295  >  443 Len=40"
"97","6.489044","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"98","6.489047","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"99","6.489048","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"100","6.489050","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"101","6.489052","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"102","6.489053","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"103","6.489055","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
